Feature,Importance
NameLength,13.259815560328953
Age,12.634918997000671
Fare,10.039262561343987
Title_Mr,9.621360529665115
Sex_male,9.255618252406116
FarePerPerson,8.9206948830394
TicketGroupSize,4.494097597166757
Pclass_3,3.3804993241655756
Embarked_S,3.323789769350669
FamilySize,1.933855159536897
SibSp,1.7990903505779245
Pclass_2,1.7606652112217638
FareBand_LowerMiddle,1.3714501703779496
Deck_U,1.3499406604340132
FareBand_UpperMiddle,1.2311143941228126
CabinKnown,1.2194589959643307
Deck_D,1.1094415723887756
Title_Mrs,1.0615628148129082
Title_Miss,1.0610869199148059
Deck_E,0.9468418801434441
AgeBand_Child,0.9341712197671859
TicketPrefix_STONO,0.9307463257855124
TicketPrefix_NONE,0.8666810577549564
TicketPrefix_A5,0.8434921089805736
Parch,0.7940815324823642
AgeBand_YoungAdult,0.786143546055485
Embarked_Q,0.7314402591158504
Title_Officer,0.6431744575989127
AgeBand_Mature,0.43395056669937593
AgeMissing,0.4039128975594656
FamilyGroup_Small,0.3527678291498377
TicketPrefix_SOTONOQ,0.33974672861266886
IsAlone,0.33734287786530565
TicketPrefix_C,0.21173931830237616
TicketPrefix_PC,0.19938524469213154
TicketPrefix_WC,0.17109883149517016
Deck_C,0.16464256829847418
Deck_B,0.1466246612824956
Deck_G,0.1421145078053069
TicketPrefix_SWPP,0.12239255214804753
FamilyGroup_Solo,0.11235936770559889
FareBand_Low,0.10123084851697904
TicketPrefix_SCPARIS,0.0884888365107861
TicketPrefix_STONO2,0.08659245304376245
TicketPrefix_CA,0.07110256529796286
Deck_F,0.05467516118609142
AgeBand_Senior,0.04326825814453658
TicketPrefix_SOPP,0.029989509027096784
Title_Royalty,0.021370659231551025
TicketPrefix_PP,0.015079051405765837
TicketPrefix_SCParis,0.011282679177022635
TicketPrefix_A4,0.00975257072683976
TicketPrefix_SOC,0.009537171888981077
Deck_T,0.009171712451570764
TicketPrefix_FCC,0.004255549809086723
TicketPrefix_PPP,0.0006308454546342904
TicketPrefix_SOTONO2,0.0006213370009131679
TicketPrefix_SCAH,0.0003137672559064728
TicketPrefix_WEP,6.296075056256126e-05
FareMissing,0.0
TicketPrefix_LP,0.0
TicketPrefix_CASOTON,0.0
TicketPrefix_FC,0.0
TicketPrefix_AQ4,0.0
TicketPrefix_AQ3,0.0
TicketPrefix_AS,0.0
Title_the Countess,0.0
TicketPrefix_Fa,0.0
TicketPrefix_SOP,0.0
TicketPrefix_SP,0.0
TicketPrefix_SCOW,0.0
TicketPrefix_SCA3,0.0
TicketPrefix_SC,0.0
TicketPrefix_SCA4,0.0
TicketPrefix_STONOQ,0.0
